Strategy,Rule,WaitDays,CoreFraction,Period_Dev,Months_Dev,Contributed_Dev,FinalValue_Dev,GainPct_Dev,Units_Dev,WeightedAverageNAV_Dev,AverageDelayDays_Dev,SignalBuys_Dev,UnitLiftVsImmediatePct_Dev,Period_Val,Months_Val,Contributed_Val,FinalValue_Val,GainPct_Val,Units_Val,WeightedAverageNAV_Val,AverageDelayDays_Val,SignalBuys_Val,UnitLiftVsImmediatePct_Val,Pass,Score
Core75_Dip25_10,RSI_35,10,0.75,Development,104,1040000.0,2892991.3450600132,178.17224471730896,53123.25154678575,19.577114911425742,9.14423076923077,13,-0.16856110787909495,Validation,32,320000.0,466106.531077935,45.658290961854696,5457.16148543628,58.63854328921644,9.59375,3,-0.14492197609580204,False,-0.313483083974897
Core75_Dip25_10,DD3_RSI35,10,0.75,Development,104,1040000.0,2892991.3450600132,178.17224471730896,53123.25154678575,19.577114911425742,9.14423076923077,13,-0.16856110787909495,Validation,32,320000.0,466106.531077935,45.658290961854696,5457.16148543628,58.63854328921644,9.59375,3,-0.14492197609580204,False,-0.313483083974897
Core75_Dip25_15,ThreeDayDrop_2.50,15,0.75,Development,104,1040000.0,2891090.234607003,177.98944563528875,53088.341947423854,19.589988344898135,13.875,15,-0.2341646888718074,Validation,32,320000.0,466412.71609262866,45.75397377894645,5460.746290535963,58.60004896301317,13.21875,7,-0.07932725365911164,False,-0.31349194253091905
Core75_Dip25_10,DailyDrop_0.75,10,0.75,Development,104,1040000.0,2893746.4639409077,178.24485230201037,53137.11759941877,19.572006292102223,7.375,52,-0.14250344111731428,Validation,32,320000.0,465979.9649899049,45.61873905934528,5455.6796534195455,58.65447026374218,6.5625,22,-0.17203652127542046,False,-0.31453996239273474
Core75_Dip25_10,Drop3_2_DD3,10,0.75,Development,104,1040000.0,2893098.433469261,178.18254167973663,53125.217983537084,19.57639026200861,9.288461538461538,13,-0.16486569758963343,Validation,32,320000.0,466056.2611323819,45.64258160386936,5456.572926399974,58.644868183063586,8.84375,7,-0.15569142256515178,False,-0.3205571201547852
Core75_Dip25_15,DailyDrop_1.25,15,0.75,Development,104,1040000.0,2892033.30165369,178.08012515900867,53105.65924359627,19.583600219131224,12.73076923076923,29,-0.2016213007267842,Validation,32,320000.0,466201.0188923802,45.687818403868796,5458.2677459742745,58.626658656680014,11.5625,14,-0.12467963350963895,False,-0.32630093423642315
Core75_Dip25_10,SixtyDayDD_4,10,0.75,Development,104,1040000.0,2894518.333346702,178.31907051410596,53151.291237606565,19.566787104960497,7.673076923076923,30,-0.11586774670058198,Validation,32,320000.0,465799.6687955062,45.56239649859568,5453.568750905976,58.67717353830735,7.75,10,-0.2106617911626696,False,-0.32652953786325156
Core75_Dip25_10,TwentyDayDD_4,10,0.75,Development,104,1040000.0,2893345.096133167,178.20625924357375,53129.74738621375,19.574721340946223,8.663461538461538,19,-0.15635385440671,Validation,32,320000.0,465973.3592480736,45.616674765023,5455.602313589483,58.655301762539544,8.1875,9,-0.17345168459537152,False,-0.32980553900208154
Core75_Dip25_10,Drop5_2_RSI35,10,0.75,Development,104,1040000.0,2892469.957303364,178.1221112791696,53113.67743831246,19.580643822071664,9.509615384615385,9,-0.18655317344677957,Validation,32,320000.0,466106.531077935,45.658290961854696,5457.16148543628,58.63854328921644,9.59375,3,-0.14492197609580204,False,-0.3314751495425816
Core75_Dip25_15,FiveDayDrop_3.00,15,0.75,Development,104,1040000.0,2890281.0740794144,177.91164173840522,53073.483542015136,19.59547274067084,14.0,12,-0.26208722652536487,Validation,32,320000.0,466450.46136563143,45.76576917675983,5461.188211076342,58.59530703427843,13.53125,5,-0.07124099669977291,False,-0.3333282232251378
Core75_Dip25_15,RSI_35,15,0.75,Development,104,1040000.0,2890069.1560340463,177.8912650032737,53069.59214577898,19.596909603962708,13.442307692307692,15,-0.26940010128817526,Validation,32,320000.0,466454.33724479115,45.766980388997226,5461.233589754954,58.59482015204525,14.125,3,-0.07041065816104641,False,-0.3398107594492217
Core75_Dip25_15,DD3_RSI35,15,0.75,Development,104,1040000.0,2890069.1560340463,177.8912650032737,53069.59214577898,19.596909603962708,13.442307692307692,15,-0.26940010128817526,Validation,32,320000.0,466454.33724479115,45.766980388997226,5461.233589754954,58.59482015204525,14.125,3,-0.07041065816104641,False,-0.3398107594492217
Core75_Dip25_10,FiveDayDrop_2.00,10,0.75,Development,104,1040000.0,2892935.721632802,178.16689631084634,53122.230148183684,19.57749132705715,8.625,25,-0.1704805629041184,Validation,32,320000.0,465987.03423754254,45.62094819923204,5455.762419961885,58.65358044719176,8.75,9,-0.17052206003670412,False,-0.3410026229408225
Core75_Dip25_15,SixtyDayDD_5,15,0.75,Development,104,1040000.0,2891964.129407402,178.07347398148096,53104.38905153507,19.584068634905744,12.096153846153847,25,-0.2040082988386427,Validation,32,320000.0,466107.0987309095,45.65846835340923,5457.168131500523,58.63847187570738,12.375,7,-0.14480036648881756,False,-0.34880866532746024
Core75_Dip25_15,Drop3_2_DD3,15,0.75,Development,104,1040000.0,2890414.6234071963,177.9244830199227,53075.9358737671,19.59456734730932,13.490384615384615,18,-0.25747870200341083,Validation,32,320000.0,466339.5551317059,45.731110978658094,5459.889724168481,58.60924234119668,12.75,8,-0.09500069518835197,False,-0.3524793971917628
Core50_Dip50_5,DailyDrop_1.00,5,0.5,Development,104,1040000.0,2893082.948985015,178.1810527870207,53124.933645959274,19.576495039615043,4.5673076923076925,21,-0.16540003667274705,Validation,32,320000.0,465906.0408631898,45.5956377697468,5454.8141519295295,58.66377681938192,4.46875,9,-0.18787345757389495,False,-0.353273494246642
Core75_Dip25_10,FiveDayDrop_2.50,10,0.75,Development,104,1040000.0,2892792.9465742134,178.15316793982822,53119.60840672394,19.578457582687218,9.23076923076923,14,-0.17540744924311458,Validation,32,320000.0,465946.58236984705,45.608306990577205,5455.288810690864,58.65867254780134,8.9375,7,-0.179188157024468,False,-0.3545956062675826
